features,review_text,distance_to_center,review_score,image_url,price,star_rating,daily_price,nights,id,location,value_ratio,review_count,name
"Ücretsiz İptal, Wi-Fi, Kahvaltı Dahil, Restoran, Teras, Resepsiyon",Muhteşem,,9.0,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290753270000/2/1/8941/istport_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.794 TL,4,(gecelik 1.397 TL),2 Gece,1360146,"Arnavutköy, İstanbul -",6.442376521116679,72,Istport Hotel
"Ücretsiz İptal, Wi-Fi, Masaj, Teras, Resepsiyon, Engelli Dostu",Çok iyi,Merkeze 0.6 km,8.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293679370000/2/1/10246/musk_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.546 TL,0,(gecelik 1.273 TL),2 Gece,1315331,"Taksim, Beyoğlu, İstanbul -",6.441476826394343,21,Musk Hotel
"Ücretsiz İptal, Tesiste Ödeme İmkanı, Restoran, Resepsiyon, Çocuk Dostu",Çok iyi,Merkeze 0.7 km,8.3,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292518330000/2/1/9575/black_art_otel.jpg?width=552&height=392&mode=crop&anchor=center,2.577 TL,3,(gecelik 1.289 TL),2 Gece,684371,"Beyoğlu, İstanbul -",6.4391000775795195,156,Black Art Otel
"Wi-Fi, Engelli Dostu",Misafir Puanı,,6.1,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638694384270970000/2/1/41165/the_han_yk.jpg?width=552&height=392&mode=crop&anchor=center,1.896 TL,0,(gecelik 948 TL),2 Gece,1516323,"Avcılar, İstanbul -",6.434599156118143,10,The Han Yk
"Otopark, Wi-Fi, Resepsiyon, Engelli Dostu, Çocuk Dostu",Misafir Puanı,,6.0,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952291671730000/2/1/9179/avcilar_inci.jpg?width=552&height=392&mode=crop&anchor=center,1.866 TL,3,(gecelik 933 TL),2 Gece,478878,"Avcılar, İstanbul -",6.430868167202572,62,Avcılar İnci Hotel
"Ücretsiz İptal, Resepsiyon, Kahvaltı Dahil, Engelli Dostu",Misafir Puanı,Merkeze 0.4 km,6.9,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293802070000/2/1/10552/nupera_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.149 TL,3,(gecelik 1.075 TL),2 Gece,1354887,"Taksim, Beyoğlu, İstanbul -",6.4186046511627906,66,Nupera Hotel
"Spa, Wi-Fi, Doğa Manzarası, Teras, Resepsiyon, Çocuk Dostu",Müthiş,,8.6,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290372830000/2/1/8013/kuk_bakirkoy_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.700 TL,0,(gecelik 1.350 TL),2 Gece,479105,"Bakırköy, İstanbul -",6.37037037037037,145,Kuk Bakırköy Hotel
Wi-Fi,Olağanüstü,Merkeze 0.3 km,10,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638246074297830000/2/1/28550/taksim_no_44_hotelsuites.jpg?width=552&height=392&mode=crop&anchor=center,3.150 TL,0,(gecelik 1.575 TL),2 Gece,1450232,"Taksim, Beyoğlu, İstanbul -",6.349206349206349,2,Taksim No:44 Hotel & Suites 
"Kahvaltı Dahil, Otopark, Havuz, Spa, Toplantı Odaları, Wi-Fi",Muhteşem,Merkeze 0.7 km,9.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293647800000/2/1/10194/laleli_gonen.jpg?width=552&height=392&mode=crop&anchor=center,2.900 TL,3,(gecelik 1.450 TL),2 Gece,106023,"Laleli, Fatih, İstanbul -",6.344827586206896,30,Laleli Gönen
"Ücretsiz İptal, Otopark, Wi-Fi, Deniz Manzarası, Restoran, Teras",Çok iyi,Merkeze 1.1 km,8.4,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637909227644530000/2/1/51/sultan_palace.jpg?width=552&height=392&mode=crop&anchor=center,2.649 TL,3,(gecelik 1.325 TL),2 Gece,104052,"Sultanahmet, Fatih, İstanbul -",6.339622641509434,14,Sultan Palace
